Region,Satellite,Date UTC,Landsat Tile,Matchup Satellite,MODIS Date UTC,Hour UTC
AK,L8,2014-09-29,065019,MODIS Aqua,140929,2205
AK,L8,2016-05-13,065019,MODIS Aqua,160513,2205
AK,L8,2017-04-14,065019,MODIS Aqua,170414,2205
AK,L8,2021-04-25,065019,MODIS Aqua,210425,2205
AK,L8,2021-06-12,065019,MODIS Aqua,210612,2205
AK,L9,2022-10-13,065019,MODIS Aqua,221013,2215
MX,L8,2014-11-19,038043,MODIS Aqua,141119,2050
MX,L8,2016-02-10,038043,MODIS Aqua,160210,2050
MX,L8,2016-02-26,038043,MODIS Aqua,160226,2050
MX,L8,2019-11-01,038043,MODIS Aqua,191101,2050
MX,L8,2020-01-04,038043,MODIS Aqua,200104,2050
MX,L8,2020-12-05,038043,MODIS Aqua,201205,2050
MX,L8,2022-11-25,038043,MODIS Aqua,221125,2130
MX,L8,2022-12-27,038043,MODIS Aqua,221227,2120
MX,L8,2023-01-12,038043,MODIS Aqua,230112,2110
SBC,L8,2013-12-14,042036,MODIS Aqua,131214,2115
SBC,L8,2013-12-30,042036,MODIS Aqua,131230,2115
SBC,L8,2014-01-15,042036,MODIS Aqua,140115,2115
SBC,L8,2014-08-27,042036,MODIS Aqua,140827,2115
SBC,L8,2014-09-28,042036,MODIS Aqua,140928,2115
SBC,L8,2014-11-15,042036,MODIS Aqua,141115,2115
SBC,L8,2015-01-02,042036,MODIS Aqua,150102,2115
SBC,L8,2015-03-23,042036,MODIS Aqua,150323,2115
SBC,L8,2015-04-08,042036,MODIS Aqua,150408,2115
SBC,L8,2015-08-14,042036,MODIS Aqua,150814,2115
SBC,L8,2015-10-01,042036,MODIS Aqua,151001,2115
SBC,L8,2015-11-18,042036,MODIS Aqua,151118,2115
SBC,L8,2016-02-06,042036,MODIS Aqua,160206,2115
SBC,L8,2016-12-22,042036,MODIS Aqua,161222,2115
SBC,L8,2017-10-22,042036,MODIS Aqua,171022,2115
SBC,L8,2017-11-07,042036,MODIS Aqua,171107,2115
SBC,L8,2018-11-26,042036,MODIS Aqua,181126,2115
SBC,L8,2018-12-12,042036,MODIS Aqua,181212,2115
SBC,L8,2019-09-10,042036,MODIS Aqua,190910,2115
SBC,L8,2019-10-28,042036,MODIS Aqua,191028,2115
SBC,L8,2019-12-15,042036,MODIS Aqua,191215,2115
SBC,L8,2019-12-31,042036,MODIS Aqua,191231,2115
SBC,L8,2020-02-01,042036,MODIS Aqua,200201,2115
SBC,L8,2020-02-17,042036,MODIS Aqua,200217,2115
SBC,L8,2020-10-14,042036,MODIS Aqua,201014,2115
SBC,L8,2020-11-15,042036,MODIS Aqua,201115,2115
SBC,L8,2020-12-01,042036,MODIS Aqua,201201,2115
SBC,L8,2021-01-18,042036,MODIS Aqua,210118,2115
SBC,L8,2021-02-19,042036,MODIS Aqua,210219,2115
SBC,L8,2021-10-01,042036,MODIS Aqua,211001,2115
SBC,L8,2021-11-02,042036,MODIS Aqua,211102,2115
SBC,L8,2022-02-06,042036,MODIS Aqua,220206,2115
SBC,L8,2022-03-10,042036,MODIS Aqua,220310,2115
SBC,L9,2022-08-09,042036,MODIS Aqua,220809,2140
SBC,L9,2022-11-13,042036,MODIS Aqua,221113,2115
SBC,L9,2022-11-29,042036,MODIS Aqua,221129,2105
SBC,L8,2023-01-24,042036,MODIS Aqua,230124,2130
SBC,L8,2023-02-09,042036,MODIS Aqua,230209,2125
PC,L8,2013-11-03,043036,MODIS Aqua,131103,2120
PC,L8,2013-12-05,043036,MODIS Aqua,131205,2120
PC,L8,2014-03-27,043036,MODIS Aqua,140327,2125
PC,L8,2014-10-21,043036,MODIS Aqua,141021,2120
PC,L8,2014-11-06,043036,MODIS Aqua,141106,2120
PC,L8,2015-01-25,043036,MODIS Aqua,150125,2120
PC,L8,2015-04-15,043036,MODIS Aqua,150415,2125
PC,L8,2015-09-06,043036,MODIS Aqua,150906,2120
PC,L8,2015-12-27,043036,MODIS Aqua,151227,2120
PC,L8,2016-02-29,043036,MODIS Aqua,160229,2120
PC,L8,2016-03-16,043036,MODIS Aqua,160316,2120
PC,L8,2016-10-26,043036,MODIS Aqua,161026,2120
PC,L8,2017-01-14,043036,MODIS Aqua,170114,2120
PC,L8,2017-01-30,043036,MODIS Aqua,170130,2120
PC,L8,2017-04-20,043036,MODIS Aqua,170420,2120
PC,L8,2017-11-30,043036,MODIS Aqua,171130,2120
PC,L8,2018-10-16,043036,MODIS Aqua,181016,2120
PC,L8,2018-12-03,043036,MODIS Aqua,181203,2120
PC,L8,2018-12-19,043036,MODIS Aqua,181219,2120
PC,L8,2019-03-25,043036,MODIS Aqua,190325,2120
PC,L8,2020-01-23,043036,MODIS Aqua,200123,2120
PC,L8,2020-11-22,043036,MODIS Aqua,201122,2120
PC,L8,2021-03-30,043036,MODIS Aqua,210330,2120
PC,L8,2021-11-25,043036,MODIS Aqua,211125,2120
PC,L8,2021-12-11,043036,MODIS Aqua,211211,2120
PC,L8,2022-01-28,043036,MODIS Aqua,220128,2120
PC,L9,2022-10-03,043036,MODIS Aqua,221003,2135
PC,L8,2022-10-27,043036,MODIS Aqua,221027,2035
PC,L9,2022-11-20,043036,MODIS Aqua,221120,2115
PC,L8,2023-01-31,043036,MODIS Aqua,230131,2135
PC,L9,2023-04-13,043036,MODIS Aqua,230413,2135
